     5894	2021-01-01 04:35:30	1	0	1	0
     5894	2021-01-01 04:35:32	1	0	1	0
     9988	2021-01-01 06:24:01	1	0	1	0
     9988	2021-01-01 06:24:39	1	0	1	0
     9988	2021-01-01 06:24:41	1	0	1	0
     3434	2021-01-01 06:24:48	1	0	1	0
     3434	2021-01-01 06:24:51	1	0	1	0
     3434	2021-01-01 06:24:52	1	0	1	0
     7178	2021-01-01 06:27:17	1	0	1	0
     7178	2021-01-01 06:27:19	1	0	1	0
     8683	2021-01-01 06:42:35	1	0	1	0
     8683	2021-01-01 06:42:37	1	0	1	0
     3273	2021-01-01 06:43:46	1	0	1	0
     6050	2021-01-01 06:45:24	1	0	1	0
     6050	2021-01-01 06:45:27	1	0	1	0
     6050	2021-01-01 06:45:29	1	0	1	0
     2811	2021-01-01 06:45:37	1	0	1	0
     2811	2021-01-01 06:45:39	1	0	1	0
     2811	2021-01-01 06:45:41	1	0	1	0
     4978	2021-01-01 06:48:22	1	0	1	0
     4978	2021-01-01 06:48:24	1	0	1	0
     4978	2021-01-01 06:48:27	1	0	1	0
     8393	2021-01-01 06:50:15	1	0	1	0
     8393	2021-01-01 06:50:20	1	0	1	0
     9323	2021-01-01 06:51:05	1	0	1	0
     9323	2021-01-01 06:51:07	1	0	1	0
     4970	2021-01-01 06:52:04	1	0	1	0
     4970	2021-01-01 06:52:05	1	0	1	0
     8571	2021-01-01 06:53:54	1	0	1	0
     8571	2021-01-01 06:53:56	1	0	1	0
     8571	2021-01-01 06:53:57	1	0	1	0
     8571	2021-01-01 06:53:59	1	0	1	0
     3888	2021-01-01 06:55:58	1	0	1	0
     3888	2021-01-01 06:56:01	1	0	1	0
     3888	2021-01-01 06:56:03	1	0	1	0
     2016	2021-01-01 06:57:41	1	0	1	0
     2016	2021-01-01 06:57:42	1	0	1	0
     2016	2021-01-01 06:57:44	1	0	1	0
     4500	2021-01-01 06:58:57	1	0	16	0
     4500	2021-01-01 06:59:10	1	0	16	0
     7939	2021-01-01 06:59:55	1	0	1	0
     7939	2021-01-01 06:59:57	1	0	1	0
     9740	2021-01-01 07:00:10	1	0	1	0
     9740	2021-01-01 07:00:12	1	0	1	0
     4172	2021-01-01 07:03:49	1	0	1	0
     2233	2021-01-01 07:08:15	1	0	1	0
     8315	2021-01-01 07:08:26	1	0	1	0
     8315	2021-01-01 07:08:27	1	0	1	0
     6019	2021-01-01 07:09:20	1	0	1	0
     4029	2021-01-01 07:12:29	1	0	1	0
     4029	2021-01-01 07:12:32	1	0	1	0
     9058	2021-01-01 07:21:37	1	0	16	0
     9058	2021-01-01 07:21:39	1	0	1	0
